"","Date","Open","High","Low","Close","Adj Close","Volume"
"1",2006-01-01,33462,38804,32860,38383,38383,0
"2",2006-02-01,38382,38978,35891,38610,38610,0
"3",2006-03-01,38610,39395,36085,37952,37952,0
"4",2006-04-01,37952,40425,37816,40363,40363,0
"5",2006-05-01,40365,42062,34911,36530,36530,0
"6",2006-06-01,36531,38437,32057,36631,36631,0
"7",2006-07-01,36629,37601,34591,37077,37077,0
"8",2006-08-01,37077,38172,35123,36232,36232,144235600
"9",2006-09-01,36232,37739,34127,36449,36449,2391376300
"10",2006-10-01,36450,39843,36438,39263,39263,2392852500
"11",2006-11-01,39279,42308,39279,41932,41932,2175094500
"12",2006-12-01,41930,44675,41192,44474,44474,1845604000
"13",2007-01-01,44476,45388,41266,44642,44642,2010837900
"14",2007-02-01,44642,46752,42571,43892,43892,2210915100
"15",2007-03-01,43886,45950,41117,45805,45805,2898315900
"16",2007-04-01,45805,49856,45225,48956,48956,2788661600
"17",2007-05-01,48955,52877,48953,52268,52268,2311245000
"18",2007-06-01,52271,55003,50885,54392,54392,2008111300
"19",2007-07-01,54396,58293,52627,54183,54183,926311000
"20",2007-08-01,54170,55616,44938,54637,54637,1151761800
"21",2007-09-01,54641,61054,52321,60465,60465,106332200
"22",2007-10-01,60465,65949,59473,65318,65318,146974800
"23",2007-11-01,65317,65317,58096,63006,63006,111714400
"24",2007-12-01,63018,66529,59414,63886,63886,39270200
"25",2008-01-01,63885,63906,53011,59490,59490,75006400
"26",2008-02-01,59491,66005,58030,63489,63489,62925000
"27",2008-03-01,63496,65045,57824,60968,60968,48383600
"28",2008-04-01,60965,68038,60965,67868,67868,21483400
"29",2008-05-01,67869,73920,67865,72593,72593,25864000
"30",2008-06-01,72593,72593,63689,65018,65018,24527600
"31",2008-07-01,65018,65018,56418,59505,59505,28042800
"32",2008-08-01,59505,59505,52345,55680,55680,22831800
"33",2008-09-01,55665,55665,43766,49541,49541,35435000
"34",2008-10-01,49538,49834,29435,37257,37257,46438000
"35",2008-11-01,37261,41003,31081,36596,36596,33453000
"36",2008-12-01,36596,40498,33798,37550,37550,32444400
"37",2009-01-01,37550,42525,36744,39301,39301,33499800
"38",2009-02-01,39296,43441,37324,38183,38183,30069600
"39",2009-03-01,38180,42680,35722,40926,40926,35335800
"40",2009-04-01,40918,48126,40256,47290,47290,34551000
"41",2009-05-01,47290,53806,47290,53198,53198,35239600
"42",2009-06-01,53202,54955,49130,51465,51465,30445600
"43",2009-07-01,51464,55083,48262,54766,54766,29458000
"44",2009-08-01,54766,58634,54766,56489,56489,27932200
"45",2009-09-01,56489,62017,55339,61518,61518,28071600
"46",2009-10-01,61519,67530,59678,61546,61546,33944200
"47",2009-11-01,61539,68060,60724,67044,67044,30950400
"48",2009-12-01,67051,69785,65925,68588,68588,25856400
"49",2010-01-01,68587,71068,64541,65402,65402,32866000
"50",2010-02-01,65402,68120,61341,66503,66503,27096400
"51",2010-03-01,66511,70486,66511,70372,70372,37817200
"52",2010-04-01,70375,71989,65914,67530,67530,34294000
"53",2010-05-01,67534,67969,57634,63047,63047,52407200
"54",2010-06-01,63033,65831,60936,60936,60936,36575200
"55",2010-07-01,60935,67608,60056,67515,67515,34777400
"56",2010-08-01,67524,68754,63804,65145,65145,38356200
"57",2010-09-01,65154,69737,65154,69430,69430,43837400
"58",2010-10-01,69438,72140,68847,70673,70673,48426200
"59",2010-11-01,70686,73103,67103,67705,67705,30655600
"60",2010-12-01,67731,70589,66948,69305,69305,27004200
"61",2011-01-01,69310,71924,65898,66575,66575,41876200
"62",2011-02-01,66575,68226,64016,67383,67383,48663800
"63",2011-03-01,67381,68606,65463,68587,68587,45965400
"64",2011-04-01,68588,70108,65105,66133,66133,34800400
"65",2011-05-01,66119,66500,61659,64620,64620,48359800
"66",2011-06-01,64616,64979,60489,62404,62404,39742200
"67",2011-07-01,62404,63891,58009,58823,58823,41716000
"68",2011-08-01,58823,59542,47793,56495,56495,72287600
"69",2011-09-01,56498,58589,51897,52324,52324,54664800
"70",2011-10-01,52319,59901,49433,58338,58338,53851800
"71",2011-11-01,58300,59616,54537,56875,56875,48805400
"72",2011-12-01,56876,59576,55298,56754,56754,50819200
"73",2012-01-01,56755,63805,56649,63072,63072,55120200
"74",2012-02-01,63085,66662,63085,65812,65812,52916000
"75",2012-03-01,65812,68970,64096,64511,64511,55588800
"76",2012-04-01,64515,65593,60897,61820,61820,54261600
"77",2012-05-01,61820,62783,53028,54490,54490,77092600
"78",2012-06-01,54488,57611,52271,54355,54355,62934200
"79",2012-07-01,54355,57466,52213,56097,56097,59275600
"80",2012-08-01,56091,60209,55239,57061,57061,75582200
"81",2012-09-01,57065,63428,56203,59176,59176,70744000
"82",2012-10-01,59171,60412,56581,57068,57068,62249200
"83",2012-11-01,57065,59561,55126,57475,57475,62039600
"84",2012-12-01,57479,61322,57129,60952,60952,62250400
"85",2013-01-01,60990,63473,59114,59761,59761,77083400
"86",2013-02-01,59764,60496,55430,57424,57424,71082200
"87",2013-03-01,57422,59472,54648,56352,56352,86585200
"88",2013-04-01,56348,56976,52392,55910,55910,106426600
"89",2013-05-01,55919,57099,52942,53506,53506,108599200
"90",2013-06-01,53512,54289,45406,47457,47457,114211000
"91",2013-07-01,47458,49669,44107,48234,48234,113296800
"92",2013-08-01,48235,52398,47164,50008,50008,145179900
"93",2013-09-01,50012,55900,50012,52338,52338,125978800
"94",2013-10-01,52337,56747,51870,54256,54256,129969800
"95",2013-11-01,54255,54539,51290,52482,52482,65607500
"96",2013-12-01,52479,52479,49842,51507,51507,54588400
"97",2014-01-01,51507,51656,46814,47639,47639,73708400
"98",2014-02-01,47623,48669,46109,47094,47094,64038100
"99",2014-03-01,47094,50418,44905,50415,50415,67632100
"100",2014-04-01,50412,53394,49774,51627,51627,72968400
"101",2014-05-01,51627,54459,51239,51239,51239,73703300
"102",2014-06-01,51239,55284,51239,53168,53168,53445000
"103",2014-07-01,53170,58138,52735,55829,55829,68057900
"104",2014-08-01,55827,61443,55239,61288,61288,72747400
"105",2014-09-01,61295,62305,53536,54116,54116,83748800
"106",2014-10-01,54115,58897,48722,54629,54629,115826000
"107",2014-11-01,54629,57359,50886,54664,54664,67382100
"108",2014-12-01,54719,54719,45853,50007,50007,69815600
"109",2015-01-01,50005,50281,46484,46908,46908,77719800
"110",2015-02-01,46933,52457,46760,51583,51583,65310100
"111",2015-03-01,51580,52319,47905,51150,51150,79890000
"112",2015-04-01,51186,56965,51186,56229,56229,81114600
"113",2015-05-01,55312,58575,52760,52760,52760,67845700
"114",2015-06-01,52753,54361,52548,53081,53081,61236200
"115",2015-07-01,53081,53456,48624,50865,50865,65571800
"116",2015-08-01,50867,50867,42749,46626,46626,71135200
"117",2015-09-01,46625,49396,43767,45059,45059,79146200
"118",2015-10-01,45064,49752,44789,45869,45869,78617500
"119",2015-11-01,45869,49054,45106,45120,45120,60282600
"120",2015-12-01,45121,47142,43137,43350,43350,64358600
"121",2016-01-01,43349,43349,37046,40406,40406,70039500
"122",2016-02-01,40397,43601,38596,42794,42794,73592000
"123",2016-03-01,42795,52262,42795,50055,50055,121365300
"124",2016-04-01,50054,54978,47874,53911,53911,88910200
"125",2016-05-01,53910,54113,48292,48472,48472,79045000
"126",2016-06-01,48468,51812,48067,51527,51527,79032100
"127",2016-07-01,51540,57474,50825,57308,57308,75165800
"128",2016-08-01,57309,59418,55696,57901,57901,80937900
"129",2016-09-01,57901,60310,56459,58367,58367,68141200
"130",2016-10-01,58370,65054,58367,64925,64925,74450900
"131",2016-11-01,64922,65291,58322,61906,61906,83065700
"132",2016-12-01,61906,61936,56829,60227,60227,64108500
"133",2017-01-01,60227,66594,59371,64671,64671,60057300
"134",2017-02-01,64687,69488,63740,66662,66662,56775200
"135",2017-03-01,66661,67398,62496,64984,64984,73694400
"136",2017-04-01,64989,66211,62826,65403,65403,51935600
"137",2017-05-01,65404,68792,60315,62711,62711,86770000
"138",2017-06-01,62711,63637,60544,62900,62900,65351300
"139",2017-07-01,62901,66048,62035,65920,65920,51847000
"140",2017-08-01,65925,71506,65925,70835,70835,68162600
"141",2017-09-01,70848,76420,70846,74294,74294,68909400
"142",2017-10-01,74295,78024,73845,74308,74308,65846200
"143",2017-11-01,74310,75199,70825,72512,72512,93683500
"144",2017-12-01,71955,76437,71356,76402,76402,54645300
"145",2018-01-01,76403,86213,76403,84913,84913,71837300
"146",2018-02-01,84913,88318,79690,85481,85481,71597200
"147",2018-03-01,85337,87333,82889,85366,85366,70136200
"148",2018-04-01,85365,87179,82762,86115,86115,61917800
"149",2018-05-01,86111,86678,75337,76754,76754,96407700
"150",2018-06-01,76779,78892,69069,72763,72763,93312000
"151",2018-07-01,72763,80589,71935,79220,79220,63627800
"152",2018-08-01,79213,81792,74876,76678,76678,77877000
"153",2018-09-01,76675,80107,74275,79342,79342,59194500
"154",2018-10-01,79350,88377,78091,87424,87424,110546700
"155",2018-11-01,87428,90246,84030,89504,89504,83697300
"156",2018-12-01,89511,91242,83892,87887,87887,79750200
"157",2019-01-01,87887,98405,87536,97394,97394,101237300
"158",2019-02-01,97395,98589,93424,95584,95584,95001600
"159",2019-03-01,95584,100439,91584,95415,95415,86699500
"160",2019-04-01,95423,97610,92338,96353,96353,90379400
"161",2019-05-01,96339,97992,89409,97030,97030,98077700
"162",2019-06-01,97036,102617,95686,100967,100967,88248100
"163",2019-07-01,100973,104679,100073,104530,104530,21851800
